b_scan_name,hd_g1_g2,hd_g1_g3,hd_g2_g3,hd_g1_cnn,hd_g2_cnn,hd_g3_cnn
Eye1_1,0.017243416,0.015530494,0.007989699,0.01984627,0.0138727,0.010781565
Eye1_10,0.010348412,0.017932523,0.011395854,0.020350302,0.013404108,0.010127898
Eye1_11,0.008718183,0.034482894,0.032884167,0.02492597,0.023500504,0.01089576
Eye1_12,0.02585528,0.020432995,0.013439548,0.01203377,0.018625567,0.010391728
Eye1_13,0.00933641,0.03179341,0.026701896,0.011565178,0.009970388,0.021496188
Eye1_14,0.006201959,0.013022146,0.008426789,0.009249779,0.009537235,0.014349168
Eye1_15,0.018916961,0.018192414,0.006993448,0.008194462,0.018850019,0.018416866
Eye1_16,0.007091891,0.024232926,0.018787015,0.010557113,0.007591986,0.017125284
Eye1_17,0.01686933,0.021771831,0.008186586,0.010108209,0.011604555,0.015632876
Eye1_18,0.015262727,0.020342427,0.005630985,0.015089466,0.008458291,0.008915071
Eye1_19,0.007391161,0.023539882,0.017227665,0.008659117,0.010750063,0.022795646
Eye1_2,0.00968687,0.029564642,0.021838773,0.02003922,0.014069588,0.013982957
Eye1_20,0.007438414,0.025776525,0.024024225,0.008607926,0.008021201,0.021358367
Eye1_21,0.007631363,0.025997039,0.020051033,0.011604555,0.007981823,0.016038464
Eye1_22,0.009805003,0.019141413,0.023150044,0.009840442,0.011336788,0.013459236
Eye1_23,0.004465411,0.017381237,0.018491683,0.010505922,0.01086032,0.010324786
Eye1_24,0.019298923,0.028721963,0.010596491,0.017011089,0.006768996,0.012884325
Eye1_25,0.016081779,0.021350491,0.005930255,0.017873456,0.008666992,0.009423041
Eye1_3,0.011076896,0.028548702,0.01940918,0.024095105,0.016538558,0.013203283
Eye1_4,0.013203283,0.029277186,0.020405431,0.025426065,0.016475554,0.010372039
Eye1_5,0.009245842,0.014857138,0.017235541,0.013329291,0.015613187,0.006993448
Eye1_6,0.011923513,0.011135963,0.008623677,0.011301348,0.019184728,0.016814201
Eye1_7,0.011293473,0.009230091,0.008718183,0.014175907,0.014238911,0.00860005
Eye1_8,0.016073904,0.015246976,0.004756804,0.012730752,0.012053459,0.011100523
Eye1_9,0.009399414,0.02410298,0.020436933,0.011029643,0.011655746,0.017207976
Eye2_1,0.018798828,0.036676222,0.019507623,0.017932523,0.012466923,0.026067918
Eye2_10,0.006709929,0.025138609,0.026737336,0.011340726,0.012230658,0.018184539
Eye2_11,0.033978862,0.027264995,0.009352161,0.011313162,0.029611895,0.021677325
Eye2_12,0.019027218,0.019578503,0.004717427,0.010155462,0.014447612,0.013526178
Eye2_13,0.005725491,0.007780998,0.008174773,0.01371519,0.010470483,0.013809696
Eye2_14,0.014565745,0.024477067,0.010683121,0.009726247,0.011187153,0.019712387
Eye2_15,0.008048765,0.013266287,0.008580362,0.007572297,0.007312405,0.01219128
