b_scan_name,hd_g1_g2,hd_g1_g3,hd_g2_g3,hd_g1_cnn,hd_g2_cnn,hd_g3_cnn
Eye1_1,0.0199,0.0182,0.0091,0.0228,0.0149,0.0116
Eye1_10,0.0124,0.0199,0.0123,0.0222,0.0140,0.0112
Eye1_11,0.0105,0.0362,0.0345,0.0264,0.0245,0.0118
Eye1_12,0.0288,0.0237,0.0147,0.0150,0.0195,0.0116
Eye1_13,0.0110,0.0336,0.0277,0.0132,0.0112,0.0225
Eye1_14,0.0082,0.0146,0.0094,0.0107,0.0111,0.0157
Eye1_15,0.0214,0.0198,0.0085,0.0112,0.0207,0.0202
Eye1_16,0.0098,0.0266,0.0203,0.0138,0.0086,0.0186
Eye1_17,0.0185,0.0235,0.0090,0.0123,0.0124,0.0167
Eye1_18,0.0169,0.0222,0.0068,0.0172,0.0097,0.0095
Eye1_19,0.0092,0.0258,0.0188,0.0110,0.0124,0.0237
Eye1_2,0.0118,0.0316,0.0227,0.0221,0.0150,0.0149
Eye1_20,0.0097,0.0282,0.0251,0.0111,0.0091,0.0228
Eye1_21,0.0102,0.0287,0.0211,0.0146,0.0093,0.0171
Eye1_22,0.0116,0.0206,0.0241,0.0116,0.0121,0.0144
Eye1_23,0.0059,0.0191,0.0196,0.0125,0.0122,0.0111
Eye1_24,0.0215,0.0311,0.0121,0.0196,0.0084,0.0138
Eye1_25,0.0173,0.0227,0.0072,0.0189,0.0096,0.0104
Eye1_3,0.0129,0.0306,0.0207,0.0260,0.0179,0.0142
Eye1_4,0.0150,0.0309,0.0218,0.0271,0.0174,0.0113
Eye1_5,0.0120,0.0176,0.0184,0.0161,0.0167,0.0080
Eye1_6,0.0136,0.0133,0.0106,0.0131,0.0207,0.0176
Eye1_7,0.0124,0.0109,0.0098,0.0158,0.0151,0.0093
Eye1_8,0.0179,0.0174,0.0060,0.0146,0.0126,0.0124
Eye1_9,0.0122,0.0271,0.0215,0.0136,0.0127,0.0180
Eye2_1,0.0214,0.0403,0.0209,0.0221,0.0145,0.0271
Eye2_10,0.0088,0.0278,0.0286,0.0142,0.0140,0.0197
Eye2_11,0.0362,0.0299,0.0105,0.0145,0.0315,0.0234
Eye2_12,0.0208,0.0213,0.0058,0.0128,0.0161,0.0150
Eye2_13,0.0087,0.0115,0.0097,0.0180,0.0123,0.0152
Eye2_14,0.0167,0.0271,0.0121,0.0125,0.0131,0.0215
Eye2_15,0.0102,0.0152,0.0097,0.0100,0.0088,0.0133
Eye2_16,0.0159,0.0227,0.0093,0.0129,0.0125,0.0190
Eye2_17,0.0083,0.0224,0.0176,0.0126,0.0140,0.0284
Eye2_18,0.0129,0.0249,0.0168,0.0155,0.0110,0.0240
Eye2_19,0.0164,0.0224,0.0086,0.0119,0.0190,0.0203
Eye2_2,0.0082,0.0224,0.0207,0.0136,0.0119,0.0151
Eye2_20,0.0080,0.0255,0.0270,0.0110,0.0086,0.0287
Eye2_21,0.0372,0.0420,0.0090,0.0207,0.0214,0.0265
Eye2_22,0.0215,0.0290,0.0106,0.0170,0.0183,0.0241
Eye2_23,0.0387,0.0358,0.0076,0.0177,0.0278,0.0234
Eye2_24,0.0368,0.0305,0.0085,0.0190,0.0279,0.0218
Eye2_25,0.0299,0.0396,0.0121,0.0143,0.0281,0.0347
Eye2_3,0.0242,0.0176,0.0097,0.0122,0.0266,0.0182
Eye2_4,0.0136,0.0256,0.0154,0.0166,0.0094,0.0196
Eye2_5,0.0124,0.0298,0.0186,0.0135,0.0106,0.0225
Eye2_6,0.0384,0.0338,0.0070,0.0148,0.0318,0.0272
Eye2_7,0.0110,0.0291,0.0203,0.0123,0.0116,0.0233
Eye2_8,0.0151,0.0336,0.0220,0.0102,0.0123,0.0309
Eye2_9,0.0128,0.0194,0.0190,0.0193,0.0106,0.0250
Eye3_1,0.0142,0.0355,0.0254,0.0198,0.0138,0.0223
Eye3_10,0.0215,0.0390,0.0209,0.0223,0.0137,0.0208
Eye3_11,0.0203,0.0275,0.0091,0.0235,0.0100,0.0105
Eye3_12,0.0101,0.0232,0.0193,0.0180,0.0140,0.0196
Eye3_13,0.0082,0.0356,0.0312,0.0231,0.0187,0.0202
Eye3_14,0.0336,0.0571,0.0266,0.0323,0.0150,0.0318
Eye3_15,0.0095,0.0291,0.0297,0.0163,0.0145,0.0227
Eye3_16,0.0160,0.0289,0.0302,0.0215,0.0151,0.0224
Eye3_17,0.0204,0.0537,0.0352,0.0262,0.0126,0.0322
Eye3_18,0.0161,0.0226,0.0084,0.0214,0.0121,0.0126
Eye3_19,0.0199,0.0336,0.0177,0.0214,0.0152,0.0181
Eye3_2,0.0108,0.0359,0.0282,0.0183,0.0106,0.0195
Eye3_20,0.0129,0.0429,0.0340,0.0148,0.0090,0.0310
Eye3_21,0.0148,0.0232,0.0119,0.0173,0.0102,0.0102
Eye3_22,0.0155,0.0190,0.0072,0.0185,0.0112,0.0098
Eye3_23,0.0158,0.0240,0.0113,0.0132,0.0113,0.0157
Eye3_24,0.0133,0.0319,0.0214,0.0285,0.0188,0.0120
Eye3_25,0.0152,0.0298,0.0178,0.0150,0.0119,0.0188
Eye3_3,0.0079,0.0247,0.0209,0.0155,0.0126,0.0167
Eye3_4,0.0146,0.0351,0.0225,0.0246,0.0135,0.0148
Eye3_5,0.0095,0.0275,0.0220,0.0153,0.0109,0.0183
Eye3_6,0.0122,0.0299,0.0221,0.0185,0.0105,0.0171
Eye3_7,0.0167,0.0336,0.0245,0.0211,0.0109,0.0174
Eye3_8,0.0115,0.0287,0.0330,0.0189,0.0198,0.0184
Eye3_9,0.0205,0.0517,0.0324,0.0292,0.0126,0.0267
Eye4_1,0.0107,0.0341,0.0287,0.0244,0.0203,0.0222
Eye4_10,0.0112,0.0320,0.0242,0.0150,0.0117,0.0273
Eye4_11,0.0165,0.0326,0.0174,0.0140,0.0145,0.0266
Eye4_12,0.0177,0.0262,0.0107,0.0135,0.0170,0.0221
Eye4_13,0.0097,0.0313,0.0272,0.0139,0.0135,0.0256
Eye4_14,0.0127,0.0214,0.0141,0.0151,0.0141,0.0167
Eye4_15,0.0107,0.0236,0.0234,0.0130,0.0121,0.0219
Eye4_16,0.0079,0.0179,0.0137,0.0143,0.0124,0.0207
Eye4_17,0.0209,0.0411,0.0234,0.0211,0.0146,0.0283
Eye4_18,0.0270,0.0200,0.0101,0.0179,0.0274,0.0191
