b_scan_name,hd_g1_g2,hd_g1_g3,hd_g2_g3,hd_g1_cnn,hd_g2_cnn,hd_g3_cnn
Eye1_1,0.004481162,0.005182082,0.004315776,0.005607359,0.00397713,0.002441406
Eye1_10,0.004603232,0.004528415,0.002524099,0.003953503,0.002303585,0.002787928
Eye1_11,0.003154139,0.004654423,0.003721176,0.003736927,0.002559539,0.00253985
Eye1_12,0.004902501,0.006426411,0.003295898,0.006304341,0.002764302,0.002657983
Eye1_13,0.003339214,0.004949754,0.003484911,0.004020445,0.002894248,0.003008443
Eye1_14,0.003477035,0.004118889,0.003201392,0.004181893,0.003721176,0.002638294
Eye1_15,0.004264585,0.003547915,0.002685547,0.00590269,0.003575479,0.003937752
Eye1_16,0.00480012,0.003981067,0.002756426,0.005477413,0.0023469,0.002929688
Eye1_17,0.003394342,0.004193706,0.003823557,0.004166142,0.002173639,0.003311649
Eye1_18,0.004079511,0.005457724,0.002740675,0.00609564,0.003102949,0.002150013
Eye1_19,0.003165953,0.004512664,0.003095073,0.004252772,0.003102949,0.002614667
Eye1_2,0.004048009,0.005312027,0.003847184,0.003890499,0.001945249,0.003618794
Eye1_20,0.003508537,0.004359091,0.003323463,0.003772366,0.00238234,0.003043882
Eye1_21,0.004051947,0.004756804,0.002728862,0.004985194,0.002917874,0.002236643
Eye1_22,0.003646358,0.003394342,0.001953125,0.003622732,0.001756237,0.002205141
Eye1_23,0.002724924,0.004213395,0.003402218,0.004067698,0.002752489,0.002634356
Eye1_24,0.004855248,0.005823935,0.003473097,0.005288401,0.003158077,0.002228768
Eye1_25,0.00352035,0.004339403,0.002543788,0.004213395,0.002622543,0.002795804
Eye1_3,0.003874748,0.004807995,0.003138388,0.004280336,0.003059633,0.002441406
Eye1_4,0.004477224,0.003973192,0.002354776,0.004559917,0.002193328,0.002350838
Eye1_5,0.004662298,0.004792244,0.003004505,0.005627048,0.003154139,0.002299647
Eye1_6,0.003575479,0.004567792,0.003764491,0.003681798,0.003232894,0.002429593
Eye1_7,0.003559728,0.004217332,0.002492597,0.003551852,0.002165764,0.00183893
Eye1_8,0.00437878,0.00539472,0.002559539,0.00550104,0.002122448,0.002673734
Eye1_9,0.005225397,0.005146642,0.00327621,0.003961379,0.002862746,0.00253985
Eye2_1,0.004583543,0.005634923,0.003043882,0.009348223,0.007363596,0.005052136
Eye2_10,0.004756804,0.005422285,0.003028131,0.007863691,0.004382718,0.003717238
Eye2_11,0.005205708,0.006087765,0.002520161,0.009348223,0.005378969,0.004489037
Eye2_12,0.004941879,0.005504977,0.002169701,0.007981823,0.004071636,0.003351027
Eye2_13,0.005524666,0.007221837,0.00324077,0.009545111,0.004737116,0.003252583
Eye2_14,0.004359091,0.005119078,0.002461095,0.007280903,0.004552041,0.004036196
Eye2_15,0.003480973,0.003693611,0.002323274,0.00593813,0.004237021,0.003795993
Eye2_16,0.005339592,0.005154517,0.002374464,0.008288968,0.004280336,0.004229146
Eye2_17,0.003839308,0.003795993,0.002374464,0.006450038,0.005162393,0.004528415
Eye2_18,0.005414409,0.00632403,0.002122448,0.009230091,0.004681987,0.003866872
Eye2_19,0.003922001,0.005375032,0.003957441,0.008111769,0.006646925,0.003319525
Eye2_2,0.004339403,0.005367156,0.004508726,0.006977697,0.005221459,0.002366589
Eye2_20,0.003811744,0.003150202,0.003638483,0.005965694,0.005304152,0.003996818
Eye2_21,0.006658739,0.005445911,0.002803679,0.006776871,0.004772555,0.003914126
Eye2_22,0.004406345,0.004615045,0.002799742,0.007973948,0.004796182,0.003729051
Eye2_23,0.004335465,0.004496913,0.002776115,0.005847562,0.005355343,0.003918063
Eye2_24,0.003587292,0.003193517,0.002630418,0.00520177,0.00562311,0.004914315
Eye2_25,0.003630607,0.004532353,0.003335276,0.007513231,0.006434287,0.004248834
Eye2_3,0.004670174,0.005138766,0.002626481,0.006926506,0.005146642,0.003819619
Eye2_4,0.003693611,0.003858997,0.001756237,0.007284841,0.005245086,0.005126953
Eye2_5,0.003725113,0.004973381,0.002429593,0.005729429,0.004272461,0.003299836
Eye2_6,0.005441973,0.005292339,0.002134262,0.008540984,0.004374842,0.004217332
Eye2_7,0.003827495,0.005260837,0.002449282,0.006832,0.004453598,0.0033274
Eye2_8,0.003307712,0.002728862,0.002886372,0.005493164,0.0040992,0.004024383
Eye2_9,0.005784558,0.005619172,0.003236832,0.008702432,0.005367156,0.004138577
Eye3_1,0.003709362,0.004008632,0.004339403,0.006540606,0.007013136,0.003933814
Eye3_10,0.004071636,0.004492975,0.003807806,0.005193895,0.005784558,0.003417969
Eye3_11,0.003744802,0.005796371,0.003374653,0.008344097,0.005827873,0.003752678
Eye3_12,0.004197644,0.004626859,0.003807806,0.006091702,0.007123393,0.004071636
Eye3_13,0.004422096,0.004748929,0.003374653,0.007769185,0.006505166,0.00464261
Eye3_14,0.005221459,0.006209835,0.004154328,0.009218277,0.006068076,0.004055885
Eye3_15,0.003985005,0.004674112,0.003390404,0.008245653,0.005599483,0.004910377
Eye3_16,0.005438036,0.007072203,0.003925939,0.009222215,0.006154706,0.003213206
Eye3_17,0.003547915,0.005851499,0.004240959,0.007714056,0.005756993,0.002642232
Eye3_18,0.003540039,0.004370905,0.002728862,0.007544733,0.006107453,0.004843435
Eye3_19,0.004213395,0.003614856,0.003402218,0.005048198,0.006111391,0.003449471
Eye3_2,0.003382529,0.006170457,0.005678238,0.005662487,0.004878875,0.002051569
Eye3_20,0.004492975,0.004335465,0.00374874,0.004504788,0.004878875,0.002350838
Eye3_21,0.003732989,0.003732989,0.003465222,0.004721365,0.005375032,0.002650107
Eye3_22,0.004193706,0.004918252,0.003953503,0.005457724,0.00535928,0.00285487
Eye3_23,0.004327589,0.004504788,0.003232894,0.004622921,0.004122826,0.002362651
Eye3_24,0.003595168,0.005733367,0.004792244,0.006119267,0.005217521,0.002173639
Eye3_25,0.003532164,0.005717616,0.005335654,0.005245086,0.005367156,0.002480784
Eye3_3,0.003937752,0.004083449,0.002831244,0.00698951,0.006375221,0.004237021
Eye3_4,0.002811555,0.005052136,0.004264585,0.006040512,0.005796371,0.003248645
Eye3_5,0.005414409,0.005749118,0.003658172,0.006548482,0.005756993,0.002713111
Eye3_6,0.003953503,0.004906439,0.004630796,0.006469727,0.006146831,0.003185641
Eye3_7,0.004701676,0.006694178,0.003717238,0.007745558,0.004697738,0.001807428
Eye3_8,0.003961379,0.006985572,0.004701676,0.008761498,0.006619361,0.003028131
Eye3_9,0.00441422,0.007599861,0.004209457,0.009237966,0.005776682,0.002630418
Eye4_1,0.00339828,0.004087387,0.003508537,0.008517358,0.008537046,0.006154706
Eye4_10,0.003981067,0.003862935,0.002441406,0.007280903,0.005449849,0.005638861
Eye4_11,0.003689674,0.005154517,0.002740675,0.008237777,0.005957819,0.00418583
Eye4_12,0.004051947,0.005225397,0.003394342,0.007186397,0.006583921,0.005245086
Eye4_13,0.00362667,0.003299836,0.002445344,0.006111391,0.00550104,0.004599294
Eye4_14,0.003890499,0.005028509,0.002476846,0.007627426,0.005445911,0.00453629
Eye4_15,0.00444966,0.004288212,0.003658172,0.007493542,0.005729429,0.004843435
Eye4_16,0.003610919,0.004071636,0.002090946,0.007926695,0.006040512,0.005343529
Eye4_17,0.005438036,0.005256899,0.003071447,0.008769374,0.006552419,0.004504788
Eye4_18,0.004859186,0.005883002,0.002055507,0.010801254,0.006587859,0.006020823
Eye4_19,0.004760742,0.004997007,0.002583165,0.007143082,0.005532542,0.005674301
Eye4_2,0.005532542,0.004477224,0.00367786,0.006249212,0.007678616,0.005993259
Eye4_20,0.005564044,0.005831811,0.003000567,0.009230091,0.005382907,0.005028509
Eye4_21,0.005642799,0.006351594,0.003457346,0.009100145,0.005756993,0.004843435
Eye4_22,0.005327778,0.006737494,0.003394342,0.009875882,0.007556546,0.005178144
Eye4_23,0.003488848,0.004382718,0.002642232,0.007399036,0.007753434,0.006536668
Eye4_24,0.005071825,0.003752678,0.004122826,0.007442351,0.00765499,0.005091513
Eye4_25,0.003764491,0.00390625,0.0023469,0.008450416,0.007213962,0.005922379
Eye4_3,0.005063949,0.004016507,0.002142137,0.00832047,0.006595735,0.006406723
Eye4_4,0.004457535,0.004504788,0.002433531,0.007914882,0.006174395,0.005197833
Eye4_5,0.003504599,0.004366967,0.003831433,0.007804624,0.007780998,0.005516791
Eye4_6,0.003918063,0.005146642,0.003811744,0.008414976,0.006780809,0.004394531
Eye4_7,0.00476468,0.00543016,0.002909999,0.01070281,0.007536857,0.006666614
Eye4_8,0.005300214,0.005390783,0.002012191,0.007603799,0.006572108,0.006205897
Eye4_9,0.004233083,0.003949565,0.002811555,0.007481729,0.006619361,0.005154517
Eye5_1,0.006895004,0.007107642,0.002425655,0.009222215,0.0033274,0.003516413
Eye5_10,0.005229335,0.005489226,0.002937563,0.008584299,0.004780431,0.003945628
Eye5_11,0.004465411,0.004489037,0.0031187,0.004906439,0.005008821,0.004142515
Eye5_12,0.003862935,0.00406376,0.001870432,0.006686303,0.004689863,0.004835559
Eye5_13,0.005520728,0.005630985,0.003252583,0.007670741,0.004189768,0.003410093
Eye5_14,0.008517358,0.006973759,0.003457346,0.010013703,0.00336284,0.004237021
Eye5_15,0.004146453,0.004567792,0.002445344,0.005760931,0.00374874,0.00339828
Eye5_16,0.003795993,0.004418158,0.004268523,0.005886939,0.00511514,0.00301238
Eye5_17,0.003583354,0.004044071,0.003091135,0.006347656,0.005843624,0.003792055
Eye5_18,0.004457535,0.004618983,0.002823368,0.00593813,0.004008632,0.002665858
Eye5_19,0.003961379,0.004213395,0.00296119,0.005819997,0.003008443,0.003882623
Eye5_2,0.003985005,0.005445911,0.003705425,0.006993448,0.005331716,0.002484722
Eye5_20,0.005300214,0.005103327,0.003102949,0.009513609,0.005827873,0.005875126
Eye5_21,0.007170646,0.007627426,0.004370905,0.009572675,0.005363218,0.002598916
Eye5_22,0.003894437,0.003102949,0.002744613,0.003729051,0.003189579,0.003193517
Eye5_23,0.00374874,0.00453629,0.002976941,0.006079889,0.004174017,0.003268334
Eye5_24,0.005705803,0.005418347,0.002996629,0.007788873,0.003965316,0.00367786
Eye5_25,0.005292339,0.006091702,0.003130513,0.007036763,0.003209268,0.004363029
Eye5_3,0.003886561,0.005339592,0.005107264,0.005686114,0.005682176,0.002118511
Eye5_4,0.004516602,0.005099389,0.002913936,0.007402974,0.004784369,0.003335276
Eye5_5,0.003736927,0.004744991,0.002937563,0.006961946,0.005209646,0.003028131
Eye5_6,0.003547915,0.003823557,0.00257529,0.006406723,0.004048009,0.003898374
Eye5_7,0.005233272,0.005879064,0.002433531,0.008288968,0.003858997,0.003512475
Eye5_8,0.005284463,0.005666425,0.002973003,0.008151147,0.005000945,0.003839308
Eye5_9,0.003925939,0.004650485,0.002433531,0.006107453,0.004087387,0.002685547
Eye6_1,0.004496913,0.00339828,0.003949565,0.00488675,0.004036196,0.002677671
Eye6_10,0.003331338,0.004945817,0.003189579,0.006438225,0.004445722,0.002421717
Eye6_11,0.003071447,0.003441595,0.002000378,0.003701487,0.003110824,0.002559539
Eye6_12,0.004303963,0.00413464,0.004555979,0.00492219,0.0044851,0.002197266
Eye6_13,0.004941879,0.004666236,0.00187437,0.00695407,0.00355579,0.003673923
Eye6_14,0.003650296,0.004591419,0.002815493,0.006091702,0.003717238,0.002870621
Eye6_15,0.004890688,0.005957819,0.003280147,0.008060578,0.003988943,0.003228957
Eye6_16,0.003858997,0.003752678,0.002776115,0.004032258,0.003654234,0.002374464
Eye6_17,0.00550104,0.005099389,0.002205141,0.006367345,0.002984816,0.002787928
Eye6_18,0.004945817,0.006572108,0.002902123,0.007851878,0.003559728,0.002209079
Eye6_19,0.004174017,0.004402407,0.001992503,0.006339781,0.003654234,0.003039945
Eye6_2,0.004540228,0.005075762,0.002551663,0.00562311,0.002886372,0.002524099
Eye6_20,0.004681987,0.00406376,0.002272083,0.006390972,0.002701298,0.003390404
Eye6_21,0.003264396,0.004544166,0.003232894,0.006678427,0.005209646,0.002685547
Eye6_22,0.006544544,0.00523721,0.002913936,0.009678994,0.004213395,0.005142704
Eye6_23,0.003095073,0.003354965,0.002520161,0.005823935,0.004209457,0.004422096
Eye6_24,0.005264774,0.006501229,0.002945439,0.009068643,0.00523721,0.003851121
Eye6_25,0.003488848,0.005048198,0.002795804,0.009182838,0.007001323,0.005182082
Eye6_3,0.005989321,0.006103516,0.002508348,0.007406912,0.00397713,0.002248456
Eye6_4,0.003425844,0.004351216,0.003122637,0.004374842,0.002776115,0.002449282
Eye6_5,0.004079511,0.003910188,0.001886183,0.005918441,0.003122637,0.00320533
Eye6_6,0.0040992,0.004150391,0.002492597,0.005934192,0.003158077,0.003697549
Eye6_7,0.005733367,0.004776493,0.002980878,0.006158644,0.002835181,0.002461095
Eye6_8,0.004209457,0.00434334,0.002543788,0.006662676,0.004303963,0.002933625
Eye6_9,0.003992881,0.004170079,0.002114573,0.005804246,0.00289031,0.002508348
Eye7_1,0.004359091,0.005016696,0.003894437,0.004847373,0.003055696,0.002783991
Eye7_10,0.003457346,0.005650674,0.003587292,0.004969443,0.003307712,0.002476846
Eye7_11,0.004587481,0.004382718,0.002173639,0.005949943,0.003725113,0.004355154
Eye7_12,0.003685736,0.004118889,0.002898185,0.006237399,0.004331527,0.003709362
Eye7_13,0.00511514,0.005595546,0.002000378,0.006316154,0.002988754,0.002909999
Eye7_14,0.004091324,0.00434334,0.004930066,0.006906817,0.00651698,0.004177955
Eye7_15,0.003453409,0.003815682,0.003291961,0.004528415,0.003752678,0.002783991
Eye7_16,0.005650674,0.006611486,0.002394153,0.008202337,0.004237021,0.003402218
Eye7_17,0.003760553,0.003480973,0.004894626,0.00359123,0.004902501,0.00241778
Eye7_18,0.004225208,0.003689674,0.00343372,0.004323652,0.003374653,0.002201203
Eye7_19,0.004678049,0.005914504,0.002370527,0.006233461,0.002909999,0.002618605
Eye7_2,0.003512475,0.003831433,0.003587292,0.003768429,0.003421907,0.00226027
Eye7_20,0.003642421,0.004319714,0.003449471,0.004500851,0.004756804,0.002598916
Eye7_21,0.003315587,0.003134451,0.002386278,0.003973192,0.003146264,0.002090946
Eye7_22,0.005595546,0.006898942,0.003477035,0.005438036,0.003284085,0.002720987
Eye7_23,0.004473286,0.006595735,0.003414031,0.004914315,0.003008443,0.00355579
Eye7_24,0.004969443,0.004024383,0.002811555,0.003764491,0.003945628,0.002654045
Eye7_25,0.003996818,0.003563666,0.002016129,0.004555979,0.003638483,0.003158077
Eye7_3,0.003335276,0.004193706,0.002693422,0.004815871,0.003307712,0.003087198
Eye7_4,0.003461284,0.004126764,0.003122637,0.004118889,0.003532164,0.002252394
Eye7_5,0.00374874,0.005123015,0.003689674,0.004524477,0.003075384,0.001992503
Eye7_6,0.005875126,0.004721365,0.002776115,0.007710118,0.002843057,0.004311838
Eye7_7,0.004965505,0.005371094,0.002272083,0.007395098,0.003807806,0.003181704
Eye7_8,0.00453629,0.004166142,0.002441406,0.005512853,0.002780053,0.002449282
Eye7_9,0.004311838,0.005260837,0.00215395,0.005914504,0.002941501,0.002638294
Eye8_1,0.00625315,0.005922379,0.002764302,0.008025139,0.004528415,0.003890499
Eye8_10,0.004776493,0.004166142,0.002815493,0.005686114,0.004319714,0.002992692
Eye8_11,0.004016507,0.00425671,0.003288023,0.005619172,0.00394169,0.003095073
Eye8_12,0.004170079,0.003953503,0.002689485,0.006741431,0.005004883,0.003772366
Eye8_13,0.003595168,0.003937752,0.002374464,0.006717805,0.005138766,0.004725302
Eye8_14,0.003343151,0.005166331,0.004469349,0.005886939,0.004796182,0.002390215
Eye8_15,0.004114951,0.004591419,0.002563477,0.006343718,0.003386467,0.003729051
