b_scan_name,hd_g1_g2,hd_g1_g3,hd_g2_g3,hd_g1_cnn,hd_g2_cnn,hd_g3_cnn
Eye1_1,0.00261073,0.002650107,0.001094695,0.002929688,0.00105138,0.000830866
Eye1_10,0.002024005,0.001976752,0.000921434,0.00183893,0.000586725,0.001027753
Eye1_11,0.001795615,0.001673545,0.001626292,0.001496346,0.001031691,0.000948998
Eye1_12,0.002902123,0.003252583,0.001279769,0.003008443,0.000846617,0.001228579
Eye1_13,0.00164598,0.001783802,0.001043504,0.001614478,0.001228579,0.001043504
Eye1_14,0.001976752,0.00155935,0.00101594,0.001441217,0.001543599,0.001338836
Eye1_15,0.002531975,0.001653856,0.001547537,0.002992692,0.001886183,0.001795615
Eye1_16,0.002744613,0.002319336,0.001519972,0.003221081,0.001019878,0.001437279
Eye1_17,0.001602665,0.001756237,0.000830866,0.002205141,0.000783613,0.001031691
Eye1_18,0.001661731,0.00183893,0.00120889,0.002094884,0.001267956,0.000626103
Eye1_19,0.001771988,0.002295709,0.001531786,0.002374464,0.001626292,0.000866305
Eye1_2,0.002142137,0.002008254,0.000850554,0.002098822,0.000909621,0.000909621
Eye1_20,0.002232705,0.002398091,0.001094695,0.002484722,0.001031691,0.001417591
Eye1_21,0.002531975,0.002681609,0.001078944,0.00301238,0.001346711,0.00108682
Eye1_22,0.001842868,0.001441217,0.000952936,0.001799553,0.000799364,0.000909621
Eye1_23,0.001413653,0.001708984,0.001122259,0.002008254,0.00129552,0.000779675
Eye1_24,0.002232705,0.002358713,0.001519972,0.002634356,0.001669607,0.000937185
Eye1_25,0.001189201,0.001334898,0.001311271,0.001027753,0.000972625,0.000992314
Eye1_3,0.001799553,0.002051569,0.001291583,0.001933436,0.001378213,0.000968687
Eye1_4,0.00183893,0.001649918,0.001362462,0.001720798,0.000929309,0.00094506
Eye1_5,0.002756426,0.0027328,0.00117345,0.002787928,0.001078944,0.000976563
Eye1_6,0.001685358,0.002161826,0.001988565,0.001823179,0.001500284,0.00078755
Eye1_7,0.001067131,0.001673545,0.00108682,0.001598727,0.000878119,0.000728484
Eye1_8,0.00187437,0.002122448,0.001271894,0.001842868,0.000519783,0.001256143
Eye1_9,0.002811555,0.002984816,0.00101594,0.002614667,0.001023816,0.000826928
Eye2_1,0.002587103,0.003595168,0.001370338,0.004130702,0.002071258,0.001031691
Eye2_10,0.002071258,0.002618605,0.00183893,0.002882434,0.001764113,0.00152391
Eye2_11,0.002216954,0.002606792,0.001130135,0.003146264,0.00187437,0.001712922
Eye2_12,0.001771988,0.001744424,0.001035629,0.002602854,0.001602665,0.001504221
Eye2_13,0.003000567,0.00367786,0.001504221,0.004296087,0.001862557,0.001405777
Eye2_14,0.002161826,0.002646169,0.001413653,0.002752489,0.001890121,0.001775926
Eye2_15,0.002146075,0.00190981,0.001102571,0.002390215,0.001449093,0.001063193
Eye2_16,0.002492597,0.002587103,0.001323085,0.002937563,0.00129552,0.001004127
Eye2_17,0.002106697,0.001456968,0.001043504,0.001862557,0.001346711,0.00129552
Eye2_18,0.00155935,0.002264207,0.001153761,0.002126386,0.001323085,0.000759986
Eye2_19,0.002713111,0.002161826,0.000866305,0.002957252,0.001291583,0.001000189
Eye2_2,0.002941501,0.002740675,0.001563288,0.003402218,0.001358524,0.000992314
Eye2_20,0.00238234,0.001441217,0.001508159,0.002295709,0.000889932,0.001673545
Eye2_21,0.004280336,0.003142326,0.001445155,0.003606981,0.001114384,0.000763924
Eye2_22,0.002433531,0.002020067,0.001264018,0.002516224,0.001161637,0.000826928
Eye2_23,0.002618605,0.002874559,0.001098633,0.00266192,0.000996251,0.001047442
Eye2_24,0.001638105,0.001638105,0.001078944,0.001712922,0.001043504,0.000846617
Eye2_25,0.00203188,0.002287834,0.001460906,0.002587103,0.001610541,0.000850554
Eye2_3,0.001905872,0.002075195,0.001106508,0.00269736,0.001287645,0.001228579
Eye2_4,0.001437279,0.001535723,0.000909621,0.00203188,0.001579039,0.001441217
Eye2_5,0.001842868,0.003142326,0.001512097,0.003209268,0.001547537,0.000901745
Eye2_6,0.002591041,0.002461095,0.00113801,0.002524099,0.001130135,0.000803301
Eye2_7,0.001870432,0.002728862,0.00108682,0.002535912,0.001122259,0.001059255
Eye2_8,0.002150013,0.001441217,0.001748362,0.002461095,0.001122259,0.001705047
Eye2_9,0.002752489,0.002331149,0.001508159,0.002949376,0.001834992,0.001319147
Eye3_1,0.001472719,0.001929498,0.001260081,0.002216954,0.00152391,0.001342773
Eye3_10,0.00183893,0.001740486,0.001075006,0.001370338,0.001130135,0.00124433
Eye3_11,0.001937374,0.003354965,0.002000378,0.003512475,0.001929498,0.001110446
Eye3_12,0.001760175,0.002630418,0.001374275,0.003102949,0.002169701,0.001543599
Eye3_13,0.00276824,0.002476846,0.001433342,0.00316989,0.002024005,0.001834992
Eye3_14,0.002468971,0.00206732,0.001543599,0.003410093,0.001642043,0.002098822
Eye3_15,0.001771988,0.001260081,0.001236454,0.002331149,0.001693233,0.001543599
Eye3_16,0.003181704,0.003414031,0.001161637,0.003543977,0.001126197,0.000815115
Eye3_17,0.001807428,0.001456968,0.000870243,0.001980689,0.001023816,0.000925372
Eye3_18,0.002201203,0.002772177,0.00129552,0.002973003,0.001275832,0.000964749
Eye3_19,0.001642043,0.001626292,0.000960811,0.001850743,0.001397902,0.0009805
Eye3_2,0.001512097,0.00222483,0.001736549,0.002165764,0.001393964,0.000956874
Eye3_20,0.002000378,0.001866494,0.000732422,0.001815304,0.001161637,0.000956874
Eye3_21,0.00171686,0.001130135,0.001169512,0.001543599,0.001519972,0.000846617
Eye3_22,0.002146075,0.001760175,0.00078755,0.002027942,0.001181326,0.000992314
Eye3_23,0.002295709,0.00266192,0.000878119,0.002673734,0.001023816,0.000988376
Eye3_24,0.001870432,0.002295709,0.001189201,0.002402029,0.001319147,0.001019878
Eye3_25,0.001685358,0.002547726,0.001500284,0.002409904,0.001543599,0.00082299
Eye3_3,0.002071258,0.002437468,0.001248267,0.002543788,0.001575101,0.000948998
Eye3_4,0.001496346,0.002138199,0.001649918,0.002083071,0.001468782,0.000897807
Eye3_5,0.002390215,0.002433531,0.000775737,0.002787928,0.001067131,0.000826928
Eye3_6,0.00183893,0.00222483,0.001370338,0.002374464,0.001039567,0.001126197
Eye3_7,0.002193328,0.002547726,0.000771799,0.002823368,0.00108682,0.000708795
Eye3_8,0.002543788,0.003717238,0.001323085,0.003654234,0.001291583,0.000842679
Eye3_9,0.002299647,0.002654045,0.001157699,0.00245322,0.000933247,0.000791488
Eye4_1,0.001350649,0.001468782,0.000811177,0.002098822,0.001827117,0.002079133
Eye4_10,0.002283896,0.002094884,0.001362462,0.002035818,0.000767862,0.001271894
Eye4_11,0.001823179,0.00245322,0.001323085,0.002606792,0.00168142,0.001106508
Eye4_12,0.002094884,0.002437468,0.001712922,0.002445344,0.001634167,0.001386089
Eye4_13,0.00159479,0.001582976,0.001232516,0.001575101,0.001626292,0.00117345
Eye4_14,0.002059444,0.002106697,0.000889932,0.001854681,0.001031691,0.001063193
Eye4_15,0.002638294,0.001362462,0.00210276,0.002055507,0.001433342,0.001480595
Eye4_16,0.001598727,0.001638105,0.000889932,0.001913747,0.000921434,0.000897807
Eye4_17,0.003406155,0.002677671,0.001516035,0.002744613,0.001315209,0.000618227
Eye4_18,0.001992503,0.002484722,0.000885994,0.002185452,0.000791488,0.000795426
Eye4_19,0.002232705,0.002402029,0.001098633,0.002323274,0.000917496,0.001228579
Eye4_2,0.002232705,0.002244519,0.001161637,0.002216954,0.001346711,0.001405777
Eye4_20,0.003004505,0.003402218,0.001492408,0.003150202,0.001027753,0.000913558
Eye4_21,0.002295709,0.002398091,0.001504221,0.001775926,0.00101594,0.001299458
Eye4_22,0.002957252,0.002980878,0.001441217,0.002760364,0.001307334,0.00078755
Eye4_23,0.001988565,0.00215395,0.001252205,0.001216765,0.001937374,0.001787739
Eye4_24,0.002256332,0.001323085,0.001720798,0.001728673,0.002622543,0.001531786
Eye4_25,0.002181515,0.001961001,0.001071069,0.00269736,0.002468971,0.00190981
Eye4_3,0.002827306,0.002441406,0.001039567,0.002390215,0.001248267,0.000799364
Eye4_4,0.002342962,0.002205141,0.001169512,0.002339025,0.00105138,0.001000189
Eye4_5,0.002256332,0.002138199,0.001653856,0.001638105,0.001303396,0.001145886
Eye4_6,0.002165764,0.001854681,0.001350649,0.001779864,0.001055318,0.000964749
Eye4_7,0.002268145,0.002878497,0.001602665,0.002795804,0.001543599,0.000744235
Eye4_8,0.002870621,0.002685547,0.000964749,0.002740675,0.000933247,0.000724546
Eye4_9,0.002713111,0.002216954,0.001047442,0.002736738,0.000677293,0.00094506
Eye5_1,0.003599105,0.003669985,0.000850554,0.003480973,0.000779675,0.001000189
Eye5_10,0.001862557,0.001921623,0.000996251,0.002445344,0.001110446,0.00113801
Eye5_11,0.001988565,0.002059444,0.001212828,0.00238234,0.001653856,0.001409715
Eye5_12,0.002205141,0.002488659,0.001118322,0.002622543,0.001149824,0.001567225
Eye5_13,0.002350838,0.001827117,0.001571163,0.002772177,0.001539661,0.001764113
Eye5_14,0.003543977,0.003799931,0.00145303,0.003910188,0.001547537,0.001008065
Eye5_15,0.001610541,0.001551474,0.001177388,0.002402029,0.001886183,0.001496346
Eye5_16,0.001657794,0.001393964,0.001185263,0.001819241,0.001122259,0.001464844
Eye5_17,0.001886183,0.001535723,0.000996251,0.001720798,0.001417591,0.001334898
Eye5_18,0.002752489,0.002146075,0.001031691,0.002850932,0.000767862,0.001090757
Eye5_19,0.001606603,0.002512286,0.00124433,0.002350838,0.001382151,0.000972625
Eye5_2,0.001579039,0.001921623,0.001177388,0.002043693,0.001260081,0.000752111
Eye5_20,0.003449471,0.003008443,0.001677482,0.00429215,0.00148847,0.001449093
Eye5_21,0.00464261,0.003319525,0.002063382,0.003756615,0.001563288,0.000988376
Eye5_22,0.001598727,0.001405777,0.001201014,0.001445155,0.001193139,0.001283707
Eye5_23,0.001846806,0.002339025,0.001783802,0.002571352,0.001669607,0.000830866
Eye5_24,0.003540039,0.002677671,0.001539661,0.003142326,0.001232516,0.001157699
Eye5_25,0.002142137,0.00327621,0.001708984,0.00257529,0.001149824,0.001370338
Eye5_3,0.001476657,0.002476846,0.001464844,0.002705236,0.001787739,0.001008065
Eye5_4,0.002618605,0.002484722,0.001275832,0.002693422,0.001067131,0.000941123
Eye5_5,0.001638105,0.002012191,0.001374275,0.002232705,0.001712922,0.000937185
Eye5_6,0.001456968,0.002106697,0.001075006,0.002906061,0.001787739,0.001319147
Eye5_7,0.002043693,0.002551663,0.001571163,0.002622543,0.00129552,0.000984438
Eye5_8,0.002413842,0.002161826,0.001480595,0.0023469,0.00168142,0.00082299
Eye5_9,0.002291772,0.002118511,0.000850554,0.002476846,0.001027753,0.000925372
Eye6_1,0.0027328,0.00164598,0.001425466,0.002839119,0.00105138,0.001500284
Eye6_10,0.001279769,0.001334898,0.000795426,0.001764113,0.001004127,0.000988376
Eye6_11,0.00180349,0.002075195,0.000854492,0.00145303,0.001114384,0.001063193
Eye6_12,0.002630418,0.001831055,0.001539661,0.002213017,0.001118322,0.00105138
Eye6_13,0.002626481,0.002146075,0.001008065,0.002894248,0.001134073,0.001449093
Eye6_14,0.001976752,0.002252394,0.001409715,0.002476846,0.001271894,0.001334898
Eye6_15,0.001669607,0.002138199,0.001484533,0.002717049,0.001724735,0.001531786
Eye6_16,0.001791677,0.001602665,0.001181326,0.001799553,0.001275832,0.000897807
Eye6_17,0.001685358,0.001811366,0.000968687,0.001901934,0.001067131,0.000783613
Eye6_18,0.001799553,0.002079133,0.001508159,0.002512286,0.001303396,0.000874181
Eye6_19,0.00215395,0.002035818,0.000937185,0.002327211,0.000968687,0.000771799
Eye6_2,0.002134262,0.002118511,0.000929309,0.002354776,0.000897807,0.000913558
Eye6_20,0.001862557,0.001634167,0.00085843,0.001964938,0.001071069,0.001110446
Eye6_21,0.002142137,0.002004316,0.000728484,0.0023469,0.000937185,0.000799364
Eye6_22,0.00218939,0.002240581,0.001012002,0.002433531,0.001323085,0.000854492
Eye6_23,0.001468782,0.001590852,0.000838741,0.001437279,0.000645791,0.000712733
Eye6_24,0.002429593,0.002484722,0.00085843,0.002524099,0.000748173,0.000937185
Eye6_25,0.001642043,0.002461095,0.00133096,0.002130324,0.001118322,0.000669418
Eye6_3,0.003528226,0.003099011,0.001122259,0.003059633,0.001177388,0.000417402
Eye6_4,0.001378213,0.001539661,0.001327022,0.001460906,0.001098633,0.001110446
Eye6_5,0.001697171,0.001669607,0.001027753,0.002039756,0.000854492,0.001204952
Eye6_6,0.002240581,0.001878308,0.001149824,0.002437468,0.001008065,0.000984438
Eye6_7,0.002449282,0.002634356,0.001397902,0.00289031,0.001094695,0.000925372
Eye6_8,0.001260081,0.001055318,0.001512097,0.001248267,0.001728673,0.000696982
